Date,T2PP_Revenue,T2PP_Trans,Reservations_Revenue,Reservations_Bookings,Hub_Revenue,Hub_Trans,Valet_Rev,Valet_Trans
9/10/2018,25028,1142,12123,187,118805.5,4020,10390,100
9/11/2018,21903,1080,10514,136,101369.5,4256,8880,120
9/12/2018,34078.5,1327,9531,135,123434.5,5000,14860,180
9/13/2018,42991,1399,11506,163,154626.5,5244,19865,212
9/14/2018,42916,1340,9599,130,155683.5,4794,17360,165
9/15/2018,21184.75,1058,7026,98,77858,3286,6035,49
9/16/2018,34965.25,1237,9797,142,168741,4923,20595,156
9/17/2018,26903.5,1128,11339,160,134122.5,4227,13165,117
9/18/2018,25189.5,1196,10977,158,104367,4315,13350,156
9/19/2018,30883.5,1297,12904,183,120973.5,5015,13835,164
9/20/2018,41600.5,1546,12257,175,147391,5352,19270,206
9/21/2018,45068.5,1624,13256,186,157391.5,5075,15540,160
9/22/2018,21819.5,1190,7582,99,85896,3629,7200,60
9/23/2018,38015.5,1268,14183,191,171584.5,4760,20175,143
9/24/2018,30482,1243,13157,196,122006.5,4531,7600,84
9/25/2018,24768.5,1274,13414,188,106453,4723,9905,123
9/26/2018,35787.5,1226,12656,157,121511,4941,17530,212
9/27/2018,46582,1516,11392,171,162626,5362,20650,202
9/28/2018,47219,1527,10811,141,151575.5,4762,15945,158
9/29/2018,21605,1164,7691,99,84976,3669,8560,76
9/30/2018,38563.5,1316,11589,152,179434,5384,20685,154
10/1/2018,30060.5,1288,12449,172,137270,4321,10705,85
10/2/2018,26579,1271,12849,191,101575.5,4223,11660,121
10/3/2018,39719,1373,11606,176,122697,4801,15595,155
10/4/2018,40218,1424,15524,226,141623.5,5096,22530,230
10/5/2018,44461.5,1503,12318,167,146090,4937,15320,140
10/6/2018,22926,1323,7746,105,76545.5,3536,6840,53
10/7/2018,35521,1243,10355,144,181052,4983,20505,157
10/8/2018,29062.5,1183,12826,193,152992,4785,14375,108
10/9/2018,27059.5,1236,12635,193,105418.5,4477,12225,136
10/10/2018,36494,1385,13684,200,126842,4957,16560,194
10/11/2018,43562.5,1523,13350,188,149354,5320,23510,235
10/12/2018,41292,1460,10982,164,132970,4764,14825,130
10/13/2018,27619.25,1300,7165,105,89797.5,3689,7200,70
10/14/2018,37671.5,1231,14452,184,185104.5,5128,17240,125
10/15/2018,27991,1177,15320,212,133044,4480,10395,93
10/16/2018,27179.75,1263,13659,196,109413,4490,10995,143
10/17/2018,41507.5,1346,11616,176,130196.5,5060,19060,216
10/18/2018,47631,1549,12503,176,158124,5375,20475,210
10/19/2018,44447,1418,11104,151,143230,4933,15795,148
10/20/2018,21063,1102,10162,119,82234.5,3458,8640,70
10/21/2018,43638.5,1243,12741,183,174919.5,4849,18185,134
10/22/2018,26655.5,1159,13069,201,136644,4480,9295,93
10/23/2018,26964,1393,12748,178,109940.5,4653,14135,149
10/24/2018,36157.5,1346,12220,187,122750.5,4969,13890,174
10/25/2018,54999,1578,10662,165,173308,5717,20490,219
10/26/2018,47794.5,1508,7564,123,144338,5319,17090,157
10/27/2018,23908.5,1098,5964,73,84499,3399,7610,56
10/28/2018,34347.5,1080,8285,124,169590,4806,18245,143
10/29/2018,30457.5,1163,9611,148,131362,4512,7440,81
10/30/2018,29212.5,1169,9119,130,129711.5,4642,16505,188
10/31/2018,26543,1041,10416,150,92249,3400,11285,117
11/1/2018,24751.5,1207,14781,217,100342.5,4608,7950,105
11/2/2018,27823.5,1150,11921,170,118074,4386,13530,146
11/3/2018,19166.5,985,9634,121,76882.5,3217,8165,75
11/4/2018,34677,1242,12640,170,144203,4398,15835,129
11/5/2018,33506.5,1291,15827,220,155061,4866,11790,102
11/6/2018,27210,1201,10912,166,100875,4391,11100,138
11/7/2018,34097,1286,12705,168,118894,4724,14950,180
11/8/2018,49783.5,1554,10590,157,157091.5,5846,21235,215
11/9/2018,52033,1557,10845,155,164050,5478,18615,179
